actor,movie_or_tv_name
Da' Jon Lang,High School Musical
Roger Malaga,Dear Dumb Diary
Roger Malaga,High School Musical 3: Senior Year
Roger Malaga,The American Mall
Roger Malaga,High School Musical 2
Roger Malaga,High School Musical
Roger Malaga,Everwood
Roger Malaga,Paradise
Roger Malaga,The Collectors
Todd Michael Schwartzman,High School Musical
Todd Michael Schwartzman,Halloweentown High
Jared Murillo,Dead Without Your Love
Jared Murillo,Wet Hot American Summer: Ten Years Later
Jared Murillo,Two and a Half Men
Jared Murillo,Gangster Squad
Jared Murillo,Crave
Jared Murillo,High School Musical 3: Senior Year
Jared Murillo,High School Musical 2
Jared Murillo,High School Musical: The Concert - Extreme Access Pass
Jared Murillo,High School Musical
David Huff,High School Musical 3: Senior Year
David Huff,High School Musical 2
David Huff,High School Musical
Carleton Bluford,Sherlock the Musical
Carleton Bluford,The Conners
Carleton Bluford,Green Flake
Carleton Bluford,You May Now Kill the Bride
Carleton Bluford,Saturday's Warrior
Carleton Bluford,Grey
Carleton Bluford,Saints and Soldiers: The Void
Carleton Bluford,Stop Pepper Palmer
Carleton Bluford,The Freemason
Carleton Bluford,"Good Luck Charlie, It's Christmas!"
Carleton Bluford,American Pastime
Carleton Bluford,High School Musical
Carleton Bluford,Halloweentown High
Carleton Bluford,Benji: Off the Leash!
Carleton Bluford,Jumping for Joy
Carleton Bluford,Double Teamed
Carleton Bluford,Little Secrets
Carleton Bluford,Anya's Bell
Carleton Bluford,Angels in the Attic
Carleton Bluford,No More Baths
Brad Tobler,High School Musical
Charles Klapow,DiamondBoxx: New Box New Boom
Charles Klapow,High School Musical 3: Senior Year
Charles Klapow,High School Musical 2
Charles Klapow,High School Musical: The Concert - Extreme Access Pass
Charles Klapow,High School Musical
Charles Klapow,Boston Public
Charles Klapow,A Time for Dancing
Sami Roe,Book of Mormon Videos
Sami Roe,American Pastime
Sami Roe,High School Musical
Bryson Kuan,Party Like the Rich and Famous
Bryson Kuan,The Adventures of Y
Bryson Kuan,Blood Lies
Bryson Kuan,Heartbeat of LA
Bryson Kuan,Dadnapped
Bryson Kuan,American Pastime
Bryson Kuan,High School Musical
Chase Ramsey,The Crew
Chase Ramsey,The Storied Life of A.J. Fikry
Chase Ramsey,Scratchy Tumbleweed and Cage
Chase Ramsey,Falling for Christmas
Chase Ramsey,Forget the Rest
Chase Ramsey,Law & Order: Organized Crime
Chase Ramsey,CSI: Vegas
Chase Ramsey,Sweet Pecan Summer
Chase Ramsey,Why Women Kill
Chase Ramsey,The Marvelous Mrs. Maisel
Chase Ramsey,Bunch of Fatties
Chase Ramsey,Heart of Paradise
Chase Ramsey,What the Famous?!
Chase Ramsey,GruntSlingers
Chase Ramsey,Your Cocoon and You
Chase Ramsey,Lock and Roll Forever
Chase Ramsey,Dadnapped
Chase Ramsey,High School Musical 3: Senior Year
Chase Ramsey,The American Mall
Chase Ramsey,High School Musical
Jason Fullmer,The Mistle-Tones
Jason Fullmer,Beauty and the Least: The Misadventures of Ben Banks
Jason Fullmer,Osombie
Jason Fullmer,"Good Luck Charlie, It's Christmas!"
Jason Fullmer,The Letter Writer
Jason Fullmer,The Masonic Map
Jason Fullmer,Scents and Sensibility
Jason Fullmer,American Pastime
Jason Fullmer,Daniel and the Lions
Jason Fullmer,High School Musical
Jason Fullmer,Life Is Ruff
Jason Fullmer,Return to Halloweentown
Stephen Rippey,Lightspeed
Stephen Rippey,Everwood
Stephen Rippey,High School Musical
Stephen Rippey,Alien Express
Stephen Rippey,State's Evidence
Stephen Rippey,Slow
Stephen Rippey,Green Diggity Dog
Stephen Rippey,Message in a Cell Phone
Stephen Rippey,The Right Temptation
Stephen Rippey,Baby Bedlam
Stephen Rippey,Three Days to Live
Stephen Rippey,Blue Ridge Fall
Zac Efron,Killing Zac Efron
Zac Efron,Three Men and a Baby
Zac Efron,The Greatest Beer Run Ever
Zac Efron,Firestarter
Zac Efron,Gold
Zac Efron,Dubai Presents: A Five-Star Mission
Zac Efron,Save Ralph
Zac Efron,Scoob!
Zac Efron,Human Discoveries
Zac Efron,The Beach Bum
Zac Efron,"Extremely Wicked, Shockingly Evil and Vile"
Zac Efron,The Greatest Showman
Zac Efron,The Greatest Showman: Come Alive - Live Performance
Zac Efron,Columbia Winter
Zac Efron,The Disaster Artist
Zac Efron,Baywatch
Zac Efron,Hugo: Zac Efron Commercial
Zac Efron,Mike and Dave Need Wedding Dates
Zac Efron,Neighbors 3: Zombies Rising
Zac Efron,Neighbors 2: Sorority Rising
Zac Efron,Robot Chicken
Zac Efron,Dirty Grandpa
Zac Efron,We Are Your Friends
Zac Efron,The Tonight Show Starring Jimmy Fallon
Zac Efron,Robot Chicken DC Comics Special II: Villains in Paradise
Zac Efron,Neighbors
Zac Efron,That Awkward Moment
Zac Efron,Parkland
Zac Efron,John John Denim: The Race
Zac Efron,At Any Price
Zac Efron,The Paperboy
Zac Efron,The Lucky One
Zac Efron,The Lorax
Zac Efron,Liberal Arts
Zac Efron,New Year's Eve
Zac Efron,Robot Chicken: Star Wars III
Zac Efron,Charlie St. Cloud
Zac Efron,Entourage
Zac Efron,Zac Efron's Pool Party
Zac Efron,17 Again
Zac Efron,High School Musical 3: Senior Year
Zac Efron,Me and Orson Welles
Zac Efron,Danimals: Zac Efron & Corbin Bleu Commercial
Zac Efron,Disney's Grab a Book: Zac Efron and Vanessa Hudgens Commercial
Zac Efron,High School Musical 2
Zac Efron,Hairspray
Zac Efron,Vanessa Hudgens: Say Ok
Zac Efron,The Replacements
Zac Efron,"If You Lived Here, You'd Be Home Now"
Zac Efron,High School Musical Cast: I Can't Take My Eyes Off of You
Zac Efron,Heist
Zac Efron,The Suite Life of Zack & Cody
Zac Efron,High School Musical
Zac Efron,NCIS
Zac Efron,Hope Partlow: Sick Inside
Zac Efron,The Derby Stallion
Zac Efron,Summerland
Zac Efron,CSI: Miami
Zac Efron,Miracle Run
Zac Efron,Triple Play
Zac Efron,The Guardian
Zac Efron,Melinda's World
Zac Efron,The Big Wide World of Carl Laemke
Zac Efron,ER
Zac Efron,Firefly
Joe Jurisic,Dead on Arrival
Joe Jurisic,Warning: Apocalypse 2012
Joe Jurisic,High School Musical
Drew Seeley,Back to 1
Drew Seeley,Max & Wrigley
Drew Seeley,Christmas Movie Magic
Drew Seeley,My Boss' Wedding
Drew Seeley,Disrupted
Drew Seeley,Write Before Christmas
Drew Seeley,Robot Chicken
Drew Seeley,A Christmas for the Books
Drew Seeley,He Knows Your Every Move
Drew Seeley,A Friend's Obsession
Drew Seeley,Shooter
Drew Seeley,Do Over
Drew Seeley,Chalk It Up
Drew Seeley,Union Bound
